Risk ID,Risk title,Risk description,Risk category,Risk rating,Likelihood,Control ID,Control title,Control objective,Control description,Sub-process,Control type,Control nature,Frequency,Key control,Control owner,Process owner,Risk owner,Assertions,Design checks (TOD),Attributes,Entity
R-P2P-07,Payment without goods received,"An invoice is paid although the goods or services it bills for were never received, or were received at a different quantity or price from the purchase order.",Financial reporting,High,Probable,C069,Three-way match before payment authorisation,Ensure no PO-based invoice is released for payment unless it agrees to the purchase order and the goods receipt note.,"The ERP enforces a mandatory three-way match of invoice, purchase order and goods receipt note before an invoice can be released for payment; tolerance breaches are held and routed to the buyer as an exception.",Invoice Processing and Three-Way Match,Preventive,Automated,Per Transaction,Yes,AP Manager,Head of Accounts Payable,CFO,"Completeness, Accuracy, Occurrence","The match is enforced by the system and cannot be bypassed by a user
The tolerance the match operates at is documented and approved
A held invoice cannot be released without an approved override
The control leaves an audit trail showing it ran on each invoice","The invoice was matched to a purchase order and a goods receipt note before release
A tolerance breach was held and not released for payment
The match ran on every PO-based invoice in the period",Altura Infra Holdings Limited
R-P2P-08,Invoice recorded against the wrong entity or vendor,"A vendor invoice is posted to the wrong legal entity, or against vendor or tax details that do not agree to the vendor master, misstating the payable and the input tax credit.",Financial reporting,High,Reasonably possible,C065,Invoice validation before posting,"Ensure every vendor invoice is validated against the entity, the vendor master and the purchase order before it is posted.","The AP team verifies each vendor invoice is addressed to the correct legal entity, carries valid vendor and tax details, references a valid purchase order, and evidences reviewer approval before posting.",Invoice Processing and Three-Way Match,Preventive,Manual,Per Transaction,Yes,AP Executive,Head of Accounts Payable,Financial Controller,"Accuracy, Occurrence, Presentation","The reviewer is someone other than the person who keyed the invoice
The reviewer has the authority to approve the value of the invoice
The validation is evidenced before the invoice is posted, not after","The invoice was approved by an authorised reviewer before posting
Vendor and tax details on the invoice agree to the vendor master",Altura Infra Holdings Limited
R-P2P-09,Duplicate payment to a vendor,The same vendor invoice is captured and paid more than once because the duplicate check is bypassed or overridden without approval.,Financial reporting,High,Reasonably possible,C070,Duplicate invoice detection,"Ensure a duplicate invoice is blocked before posting, and any override of that block is approved and evidenced.","The ERP blocks a duplicate invoice on vendor, invoice number, amount and date; any override is recorded on the audit trail and reviewed by the AP lead.",Invoice Processing and Three-Way Match,Preventive,Automated,Per Transaction,Yes,AP Manager,Head of Accounts Payable,Financial Controller,"Existence, Accuracy","The duplicate rule covers vendor, invoice number, amount and date together
An override can only be made by someone with the authority to make it
Overrides are reviewed after the fact, not only at the moment they are made","A duplicate invoice was blocked by the system
An override of the duplicate block was approved and evidenced",Altura Infra Holdings Limited
R-P2P-01,Unapproved vendor added to the master,"A vendor is created or its bank details changed without independent approval, allowing payment to an unauthorised account.",Fraud,High,Reasonably possible,C001,Dual approval of vendor master changes,Ensure vendor additions and bank-detail changes are independently approved before they take effect.,"Vendor master additions and bank-detail changes require dual approval in the ERP before the record is activated, with the approver independent of the requester.",Vendor Selection and Sourcing,Preventive,IT-dependent,Per Transaction,Yes,Vendor Master Analyst,Head of Accounts Payable,Head of Procurement,"Existence, Rights & Obligations","The approver is independent of the person requesting the change
The system prevents activation until the second approval is recorded","The vendor change was approved by a second person before activation
The approver was independent of the requester",Altura Infra Holdings Limited
R-P2P-02,Purchase commitment without authority,"A purchase order is released above the buyer's delegated authority, committing the group to spend nobody approved.",Operational,High,Reasonably possible,C020,Purchase order approval per delegation of authority,Ensure every purchase order is approved in line with the delegation-of-authority matrix before release.,"Purchase orders are routed for approval against the delegation-of-authority matrix configured in the ERP, and cannot be released until the required approval is recorded.",Purchase Order Creation and Approval,Preventive,IT-dependent,Per Transaction,Yes,Buyer,Head of Accounts Payable,Head of Procurement,"Occurrence, Accuracy","The authority limits configured in the system agree to the approved DOA matrix
The workflow cannot be bypassed for an urgent order","The purchase order was approved at the correct authority level before release
The approval was recorded before the order was sent to the vendor",Altura Infra Holdings Limited
R-P2P-03,Goods recorded as received when they were not,"A goods receipt note is raised without the goods being physically received or inspected, allowing payment for goods never delivered.",Financial reporting,Medium,Reasonably possible,C040,Goods receipt confirmed against physical inspection,Ensure a goods receipt note is raised only after the goods are physically received and inspected.,"Stores staff record a goods receipt note in the ERP only after physical receipt and inspection against the purchase order, with discrepancies logged and routed to the buyer.",Goods / Service Receipt and Inspection,Preventive,Manual,Per Transaction,Yes,Stores Officer,Head of Accounts Payable,Head of Warehouse & Receiving,"Existence, Cut-off","The person raising the receipt is not the person who raised the order
A discrepancy stops the receipt rather than being recorded alongside it","The goods receipt was raised after physical inspection
Quantity received agrees to the purchase order",Altura Infra Holdings Limited
R-P2P-04,Payment released without authorisation,A payment run is released without the authorisation required by the payment authority matrix.,Fraud,High,Probable,C090,Payment run authorisation,Ensure every payment run is authorised by the mandated signatories before release to the bank.,"Payment runs are released to the bank only after authorisation by the signatories named in the payment authority matrix, evidenced in the banking platform's approval log.",Payment Processing,Preventive,IT-dependent,Weekly,Yes,Treasury Officer,Head of Accounts Payable,CFO,"Occurrence, Accuracy","The signatory list in the banking platform agrees to the approved matrix
Two signatories are required above the defined threshold","The payment run was authorised by the mandated signatories before release
The value released agrees to the approved payment proposal",Altura Infra Holdings Limited
R-P2P-05,Segregation of duties breach in P2P,"One person can create a vendor, raise a purchase order and release the payment, allowing a fictitious payment to go undetected.",Fraud,High,Reasonably possible,C073,System-enforced segregation of duties,Ensure no single user can both post an invoice and approve the payment for it.,The ERP role design prevents the person who posts an invoice from approving the payment for it; conflicting role combinations are blocked at assignment and reviewed quarterly.,Key Controls and Segregation of Duties,Preventive,Automated,Quarterly,Yes,IT Security Analyst,Head of Accounts Payable,CFO,"Occurrence, Rights & Obligations","The conflicting role pairs configured agree to the approved SoD matrix
A conflict cannot be granted without a documented compensating control","No user held both the invoice posting and payment approval roles
Any exception carried an approved compensating control",Altura Infra Holdings Limited
R-P2P-06,Budget exceeded without approval,Procurement spend exceeds the approved departmental budget without the overspend being approved.,Operational,Medium,Reasonably possible,C010,Budget availability check before requisition release,Ensure a purchase requisition cannot be released where no approved budget remains.,"The ERP checks available budget when a purchase requisition is released and blocks the requisition where the budget is exhausted, unless an overspend approval is recorded.",Need Identification and Purchase Requisition,Preventive,Automated,Per Transaction,No,Budget Controller,Head of Accounts Payable,Head of Financial Planning & Analysis,"Accuracy, Occurrence","The budget the check reads is the approved and released budget
An overspend approval is required from someone with authority for the value","The requisition was blocked where budget was exhausted
An overspend was approved before the requisition was released",Altura Infra Holdings Limited
R-P2P-10,Invoices not recorded in the correct period,"Invoices received near period end are posted in the wrong period, misstating payables and expense.",Financial reporting,Medium,Reasonably possible,C110,Period-end accrual for unposted receipts,Ensure goods received but not invoiced at period end are accrued in the correct period.,At period end the GR/IR account is reviewed and receipts without an invoice are accrued; the reconciliation is reviewed and signed off by the Financial Controller.,Record Retention and Close-Out,Detective,Manual,Monthly,Yes,AP Manager,Head of Accounts Payable,Financial Controller,"Cut-off, Completeness","The review covers the whole GR/IR population, not a selection
The reviewer is independent of the person preparing the accrual","Receipts without an invoice at period end were accrued
The reconciliation was reviewed and signed off before close",Altura Infra Holdings Limited
