Module	Feature	Action	Passing criteria	Failing criteria	Priority	In scope	Status	Defect / notes
SOX	Library - Navigation	Verify that the Engagement Library page opens with its heading, the one-line description and the Overview tab already selected	Page opens with heading, description and Overview selected	Blank page or a spinner that never ends; a different tab opens; heading or description missing	P0	Yes		
SOX	Library - Navigation	Verify that the user can move between Overview, All Engagements and Approval Flow without an error	Each tab opens its own content and is clearly marked as selected	A tab does not open; two look selected at once; the page errors	P0	Yes		
SOX	Library - Navigation	Verify that the All Engagements tab shows a count next to its name and that the count matches the number of rows in the list	The number on the tab and the number of rows agree	The tab count and the list disagree	P1	Yes		
SOX	Library - Navigation	Verify that grey placeholder shapes are shown while the page is still loading and are replaced in one go	Placeholders sit where the numbers will be and all fill in together	Numbers show as zero first and then jump; content flashes in piece by piece	P1	Yes		Observed on staging 21 Aug 2026 - tiles and lists fade in separately over 10 to 15 seconds
SOX	Library - Navigation	Verify that refreshing the browser keeps the user on the same tab	The same tab comes back after the refresh	The page resets to Overview	P2	Yes		
SOX	Library - Navigation	Verify that the page is readable on a smaller laptop screen	Nothing is cut off and the page scrolls up and down only	Text or buttons are cut off; the page scrolls sideways	P1	Yes		
SOX	Library - Navigation	Verify that the left menu highlights Engagement while any engagement page is open	Engagement stays highlighted throughout	The highlight moves to another item or disappears	P2	Yes		
SOX	Library - Navigation	Verify that collapsing and expanding the left menu keeps every menu name readable	Names are fully readable when expanded and icons remain clickable when collapsed	Names are cut off mid-word when expanded	P2	Yes		Observed on staging 21 Aug 2026 - collapsed menu shows single letters such as E and P instead of icons only
SOX	Library - Summary Cards	Verify that the Total Engagements card shows a count that matches the All Engagements tab	Both numbers are the same	The two numbers differ	P0	Yes		
SOX	Library - Summary Cards	Verify that the Active card shows the correct number of active engagements and the open exception count	Both figures match the underlying data	A figure is wrong or blank	P0	Yes		
SOX	Library - Summary Cards	Verify that Portfolio Health is worked out from the engagements listed	The percentage matches the health of the engagements listed	The percentage does not follow from the data	P1	Yes		Observed on staging 21 Aug 2026 - shows 0 percent with 47 active engagements
SOX	Library - Summary Cards	Verify that the Open Findings total adds up to the critical and high breakdown shown under it	The parts add up to the total shown	The parts do not add up	P0	Yes		
SOX	Library - Summary Cards	Verify that very large counts are shown in full without being cut off	The whole number is readable	The number is cut off or overlaps the label	P1	Yes		
SOX	Library - Summary Cards	Verify that clicking a summary card opens the matching filtered list	The list opens already filtered to what the card counts	Clicking does nothing or opens an unfiltered list	P1	Yes		
SOX	Library - Summary Cards	Verify that a card with a count of zero shows a clear zero rather than a blank space	Zero is shown clearly	The card is blank or shows a dash	P2	Yes		
SOX	Library - Summary Cards	Verify that the cards refresh after a new engagement is created	The counts go up by one	The counts stay stale until a manual refresh	P1	Yes		
SOX	Library - Portfolio Breakdown	Verify that the By Type breakdown adds up to Total Engagements	The type counts add up to the total	They do not add up	P0	Yes		
SOX	Library - Portfolio Breakdown	Verify that SOX / ICFR appears as its own type in the By Type breakdown	SOX / ICFR is listed with its own count	SOX engagements are folded into another type	P0	Yes		
SOX	Library - Portfolio Breakdown	Verify that the By Status split adds up to Total Engagements	Active and Draft add up to the total	They do not add up	P0	Yes		
SOX	Library - Portfolio Breakdown	Verify that the By Process list shows every process with its correct count	All processes are listed with correct counts	A process is missing or a count is wrong	P1	Yes		
SOX	Library - Portfolio Breakdown	Verify that clicking a By Type row filters the library to that type	The list opens with that type filter applied	Nothing happens or the wrong filter is applied	P1	Yes		
SOX	Library - Portfolio Breakdown	Verify that clicking a By Status row filters the library to that status	The list opens with that status filter applied	Nothing happens or the wrong filter is applied	P1	Yes		
