Ref,Stage,Trigger Condition,Email Sent To,Email Purpose,Recipient Role,Channel,CTA / Deep-link,Timing
1.1,Case intake,Exception case(s) created from an ATR-upload hand-off (per observation),Assigned Risk Owner,New exception cases assigned to you for review,RO,Email + In-app,Open case list filtered to the new cases,Immediate
1.2,Case intake,Case created from a query / bulk import,Assigned RO (+ AU watcher),New exceptions require classification,"RO, AU",In-app (Email digest),Open Manage Exceptions,Digest
1.3,Case intake,Case created but no owner assigned,Admin / team lead,Unassigned exceptions need an owner,ADM,Email + In-app,Open unassigned queue,Reminder (daily)
2.1,Classification,RO classifies a case (any disposition) -> awaiting auditor,Auditor,A classification is ready for your review,AU,Email + In-app,Open Review Classification drawer,Immediate
2.2,Classification,Case left Unclassified past its SLA,Risk Owner,Exception still needs classification,RO,In-app (Email reminder),Open Classify drawer,Reminder
2.3,Classification review,AU approves a non-actionable classification (BAU / False Positive) -> case Closed,RO (+ source report owner),Exception closed - no action plan needed,"RO, RPT",Email + In-app,Open closed case,Immediate
2.4,Classification review,AU approves an actionable classification -> action plan now required,Risk Owner,Classification approved - please submit an action plan,RO,Email + In-app,Open Action Plan drawer,Immediate
2.5,Classification review,AU rejects the classification -> reopens for re-classification,Risk Owner,Classification rejected - please re-classify,RO,Email + In-app,Open Re-Classify drawer (with AU comment),Immediate
3.1,Action plan,RO submits a management action plan + due date,Auditor,An action plan is ready for your review,AU,Email + In-app,Open Review Plan drawer,Immediate
3.2,Plan review,AU approves the plan -> RO to implement,Risk Owner,Action plan approved - implementation can begin,RO,Email + In-app,Open case / Mark Complete,Immediate
3.3,Plan review,AU rejects the plan (discrepancy) -> reopens at RO,Risk Owner,Action plan rejected - see auditor comments,RO,Email + In-app,Open plan drawer with comment,Immediate
4.1,Completion,RO marks the action complete (action taken + evidence),Auditor,An action is ready for completion review,AU,Email + In-app,Open Review Action drawer,Immediate
4.2,Completion review,AU verifies Implemented -> case Closed,RO (+ source report owner),Exception verified and closed,"RO, RPT",Email + In-app,Open closed case,Immediate
4.3,Completion review,AU marks Partially Implemented -> back to RO (In-Progress),Risk Owner,Action partially accepted - further work needed,RO,Email + In-app,Open case with auditor note,Immediate
